0.585232,0.512803
0.588019,0.877071
0.521259,0.779729
0.997238,0.367290
0.073128,0.753508
0.003387,0.208451
0.941733,0.086322
0.230563,0.330917
0.554565,0.853259
0.435780,0.071455
0.803607,0.625850
0.697023,0.117062
0.399249,0.229778
0.410513,0.582142
0.141175,0.710942
0.251172,0.271550
0.964649,0.509492
0.536257,0.014579
0.182778,0.395661
0.339538,0.977241
0.598017,0.426190
0.400217,0.500453
0.391462,0.951171
0.937418,0.547062
0.616011,0.905858
0.395218,0.622003
0.660671,0.976688
0.766472,0.686101
0.093794,0.497385
0.218250,0.183795
0.864227,0.502874
0.368943,0.884171
0.824817,0.153817
0.712045,0.258683
0.303302,0.485909
0.950614,0.974018
0.202861,0.595988
0.079321,0.177933
0.375521,0.502658
0.907395,0.375556
0.427755,0.955454
0.583123,0.054567
0.375447,0.138136
0.052830,0.401629
0.505454,0.361452
0.042408,0.706444
0.930071,0.880242
0.530495,0.501625
0.892657,0.044330
0.076077,0.350415
0.756761,0.435601
0.093031,0.990278
0.458557,0.398487
0.695336,0.981242
0.378681,0.523275
0.095143,0.043807
0.308528,0.054577
0.796485,0.557412
0.786053,0.516897
0.310250,0.766869
0.537810,0.063993
0.725577,0.943192
0.528756,0.132370
0.209676,0.573883
0.433651,0.888965
0.048591,0.586389
0.497983,0.147859
0.302512,0.058871
0.614334,0.389088
0.070203,0.586978
0.169456,0.634934
0.121931,0.990836
0.069166,0.452992
0.166543,0.150209
0.703147,0.554644
0.303767,0.469563
0.163089,0.642481
0.547231,0.218960
0.333883,0.066073
0.676629,0.830744
0.874253,0.527706
0.619041,0.521881
0.981885,0.287538
0.571579,0.079662
0.681164,0.778997
0.151651,0.240342
0.304257,0.509674
0.261849,0.425417
0.225856,0.694480
0.121190,0.322372
0.053834,0.261907
0.028328,0.424572
0.441675,0.560886
0.787289,0.991756
0.590411,0.036796
0.778351,0.596434
0.607037,0.196069
0.896054,0.687443
0.658527,0.080374
0.716110,0.316531
